Performance Statistics   2020-07-22 09:44:00 - 2020-07-22 09:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
main#load                                              220,0         220         220         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 2,0           2           2         0,0           1
mainWindow#xml                                           3,0           3           3         0,0           1
medications_RegistrationStatus.browse#afterShow          0,0           0           0         0,0           1
medications_RegistrationStatus.browse#beforeShow       233,0         233         233         0,0           1
medications_RegistrationStatus.browse#create            23,0          23          23         0,0           1
medications_RegistrationStatus.browse#init               2,0           2           2         0,0           1
medications_RegistrationStatus.browse#inject             1,0           1           1         0,0           1
medications_RegistrationStatus.browse#load            1281,0        1281        1281         0,0           1
medications_RegistrationStatus.browse#uiPermissions         0,0           0           0         0,0           1
medications_RegistrationStatus.browse#xml                4,0           4           4         0,0           1
multiuploadDialog#xml                                    3,0           3           3         0,0           1
performanceStatistics#xml                                2,0           2           2         0,0           1
propertyConditionFrame#xml                               3,0           3           3         0,0           1
runtimePropertiesFrame#xml                               2,0           2           2         0,0           1
saveFilter#xml                                           1,0           1           1         0,0           1
saveSetInFolder#xml                                      1,0           1           1         0,0           1
screensTabFrame#create                                  70,0          70          70         0,0           1
screensTabFrame#xml                                      1,0           0           2         1,0           2
sec$Constraint.edit#xml                                  4,0           4           4         0,0           1
sec$Group.browse#xml                                     5,0           5           5         0,0           1
sec$Group.edit#xml                                       2,0           2           2         0,0           1
sec$Group.lookup#xml                                     2,0           2           2         0,0           1
sec$LocalizedConstraintMessage.edit#xml                  3,0           3           3         0,0           1
sec$Role.browse#afterShow                                0,0           0           0         0,0           1
sec$Role.browse#beforeShow                               9,0           9           9         0,0           1
sec$Role.browse#create                                  10,0          10          10         0,0           1
sec$Role.browse#init                                    21,0          21          21         0,0           1
sec$Role.browse#inject                                  47,0          47          47         0,0           1
sec$Role.browse#load                                   487,0         487         487         0,0           1
sec$Role.browse#uiPermissions                            0,0           0           0         0,0           1
sec$Role.browse#xml                                      0,8           0           2         0,8           4
sec$Role.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$Role.edit#afterShow                                  0,0           0           0         0,0           1
sec$Role.edit#beforeShow                                 9,0           9           9         0,0           1
